Отметка времени,1. Ваш возраст,2. Ваш пол,3. Ваш род деятельности,4. Как вы оцениваете доступность водно-зелёных зон для всех категорий населения?,5. Как часто вы посещаете водно-зелёные зоны в вашем районе?,6. Удаленность водно-зелёных зон наиболее частого посещения от места проживания,7. Как далеко от вашего дома находятся ближайшие водно-зелёные зоны?,8. Оценка эстетической привлекательности водно-зелёных зон,9. Восприятие чистоты и ухоженности водно-зелёных зон,10. Удовлетворенность разнообразием растений и животных в водно-зелёных зонах,"11. Доступность и качество объектов благоустройства в водно-зеленых зонах (площадки, спортивные сооружения, дорожки для прогулок и бега)","12. Какие виды активности вы чаще всего проводите в водно-зелёных зонах? (выберите все, что подходит)",13. Оценка возможностей для активного и пассивного отдыха,14. Уровень комфортности и безопасности в водно-зелёных зонах,"15. Частота социальных взаимодействий в водно-зелёных зонах (встречи, мероприятия)","16. Качество социальных взаимодействий в водно-зелёных зонах (встречи, мероприятия)",17. Восприятие безопасности в дневное и ночное время,"18. Влияние посещения водно-зелёных зон на физическое здоровье (снижение стресса, улучшение физической формы)",19. Влияние на психическое здоровье и эмоциональное состояние,20. Общая удовлетворенность качеством жизни благодаря доступности водно-зелёных зон,21. Уровень осведомленности о значимости экосистемных услуг,22. Готовность участвовать в мероприятиях по защите и улучшению водно-зелёных зон,23. Участие в экологических программах и акциях,24. Как вы оцениваете изменения в состоянии водно-зелёных зон за последние 5 лет?,25. Как вы оцениваете изменения в доступности водно-зелёных зон за последние 5 лет?,26. Как вы оцениваете изменения в уровне безопасности в водно-зелёных зонах за последние 5 лет?,28. В каких зонах отдыха поселка Мысхако вы бываете чаще всего? (Выберите все подходящие варианты) ,27. Ваш тип жилья
17.06.2024 7:37:24,от 16 до 35 лет (20),Мужской,Работа ,Доступно,Еженедельно,3,Более 1000 метров,5,5,5,5,Прогулки,5,5,2,5,5,5,5,5,5,5,5,Улучшилось,Улучшилось,Улучшилось,"Пляж Мысхако, ",Частный дом
17.06.2024 7:41:34,от 16 до 35 лет (18),Мужской,Студент,Доступно,Еженедельно,7,500-1000 метров,10,9,10,10,Прогулки,10,10,10,10,9,10,10,10,10,5,5,Улучшилось,Улучшилось,Улучшилось,Пляж Мысхако,Частный дом
17.06.2024 7:42:14,от 16 до 35 лет (18),Женский,программирование ,Доступно,Еженедельно,1,300-500 метров,10,10,10,10,Прогулки,10,10,10,10,5,10,10,10,10,5,5,Значительно улучшилось,Значительно улучшилось,Значительно улучшилось,"Гора Колдун, Дикий пляж Больничный, Плантация виноградников, Пустыри у подножья горы Колдун",Частный дом
17.06.2024 7:47:59,от 16 до 35 лет (20),Мужской,Студент,Доступно,Ежемесячно,3,500-1000 метров,7,6,9,5,Прогулки,7,9,3,7,5,10,7,10,6,10,2,Улучшилось,Улучшилось,Улучшилось,Пляж Мысхако,Частный дом
17.06.2024 7:56:16,от 16 до 35 лет (20),Мужской,,Доступно,Еженедельно,3,500-1000 метров,7,8,8,6,Прогулки,8,10,7,10,1,10,5,10,10,7,5,Улучшилось,Улучшилось,Значительно улучшилось,"Гора Колдун, Пляж Мысхако, Дикий пляж у подножия горы Колдун, Побережье реки Мысхако",Частный дом
17.06.2024 8:02:43,от 36 до 45 лет (44),Мужской,Матрос спасатель ,Нейтрально,Ежемесячно,10,Более 1000 метров,6,5,5,2,Прогулки,4,6,6,6,8,10,10,7,3,1,1,Ухудшилось,Не изменилось,Не изменилось,"Пляж Мысхако, Мемориальный комплекс «Долина смерти»",Многоквартирный жилой дом
17.06.2024 8:05:53,от 16 до 35 лет (25),Женский,,Доступно,Еженедельно,4,500-1000 метров,10,10,10,10,Прогулки,10,9,8,9,9,9,10,9,9,9,8,Улучшилось,Улучшилось,Улучшилось,"Пляж Мысхако, Набережная Мысхако, Побережье реки Мысхако",Частный дом
17.06.2024 8:46:26,от 16 до 35 лет (19),Женский,Студент,Нейтрально,Еженедельно,1,500-1000 метров,8,5,8,8,Наблюдение за природой,7,7,7,7,7,7,7,7,7,7,7,Не изменилось,Не изменилось,Не изменилось,Пляж Мысхако,Частный дом
17.06.2024 8:47:50,от 16 до 35 лет (20),Мужской,студент ,Доступно,Еженедельно,4,300-500 метров,8,8,8,8,Прогулки,8,8,8,8,8,8,8,8,8,8,6,Улучшилось,Улучшилось,Улучшилось,"Пляж Мысхако, Набережная Мысхако, Побережье реки Мысхако",Многоквартирный жилой дом
17.06.2024 8:47:56,от 16 до 35 лет (19),Женский,Студент,Очень доступно,Ежедневно,1,Менее 300 метров,10,10,10,10,Прогулки,10,10,10,10,1,10,10,10,10,10,6,Значительно улучшилось,Значительно улучшилось,Значительно улучшилось,Набережная Мысхако,Частный дом
17.06.2024 8:48:31,от 16 до 35 лет (19),Женский,Студент ,Доступно,Ежемесячно,5,Менее 300 метров,5,8,7,8,Прогулки,6,6,5,6,5,4,4,6,4,5,5,Не изменилось,Не изменилось,Не изменилось,Набережная Мысхако,Многоквартирный жилой дом
17.06.2024 8:48:58,от 16 до 35 лет (19),Женский,,Доступно,Еженедельно,1,300-500 метров,6,5,6,2,Прогулки,8,8,7,10,5,8,6,7,7,5,3,Ухудшилось,Не изменилось,Не изменилось,"Пляж Мысхако, Мемориальный комплекс «Долина смерти», Побережье реки Мысхако",Многоквартирный жилой дом
17.06.2024 8:49:15,от 16 до 35 лет (20),Женский,Студент ,Нейтрально,Еженедельно,1,Менее 300 метров,10,10,10,10,Прогулки,10,10,10,10,5,5,5,5,5,10,10,Значительно улучшилось,Значительно улучшилось,Значительно улучшилось,Пляж Мысхако,Многоквартирный жилой дом
17.06.2024 8:49:58,от 16 до 35 лет (20),Мужской,,Доступно,Еженедельно,5,500-1000 метров,8,4,4,5,Прогулки,5,7,9,8,7,9,10,7,9,6,6,Улучшилось,Улучшилось,Улучшилось,Дикий пляж у подножия горы Колдун,Многоквартирный жилой дом
17.06.2024 8:50:00,от 16 до 35 лет (19),Женский,Менеджер,Нейтрально,Еженедельно,8,500-1000 метров,4,3,3,2,Прогулки,3,4,6,5,6,7,9,7,2,7,2,Ухудшилось,Ухудшилось,Не изменилось,"Дикий пляж у подножия горы Колдун, Дикий пляж Больничный",Частный дом
17.06.2024 8:51:42,от 16 до 35 лет (20),Мужской,Студень ,Очень доступно,Ежедневно,5,500-1000 метров,10,10,10,10,Прогулки,10,10,10,10,10,10,10,10,10,10,10,Значительно улучшилось,Значительно улучшилось,Значительно улучшилось,"Гора Колдун, Пляж Мысхако, Дикий пляж у подножия горы Колдун, Дикий пляж Больничный, Набережная Мысхако, Мемориальный комплекс «Долина смерти», Плантация виноградников, Пустыри у подножья горы Колдун, Побережье реки Мысхако",Частный дом
17.06.2024 8:53:37,от 16 до 35 лет (20),Мужской,Студент,Доступно,Один раз в год,10,Более 1000 метров,10,10,10,5,Прогулки,5,5,5,5,5,10,10,10,10,10,10,Улучшилось,Улучшилось,Улучшилось,Парк Галицкого,Многоквартирный жилой дом
17.06.2024 9:01:05,от 16 до 35 лет (20),Мужской,Стундент ,Доступно,Ежемесячно,3,Менее 300 метров,6,6,8,6,Прогулки,7,9,10,10,7,7,8,8,8,9,9,Значительно улучшилось,Улучшилось,Не изменилось,"Гора Колдун, Пляж Мысхако, Пустыри у подножья горы Колдун",Частный дом
17.06.2024 9:01:09,от 16 до 35 лет (20),Мужской,Стундент ,Доступно,Ежемесячно,3,Менее 300 метров,6,6,8,6,Прогулки,7,9,10,10,7,7,8,8,8,9,9,Значительно улучшилось,Улучшилось,Не изменилось,"Гора Колдун, Пляж Мысхако, Пустыри у подножья горы Колдун",Частный дом
17.06.2024 9:06:38,от 16 до 35 лет (19),Мужской,Программирование,Доступно,Ежемесячно,1,Менее 300 метров,6,7,7,8,Прогулки,7,7,5,6,1,10,8,8,10,3,1,Улучшилось,Не изменилось,Улучшилось,Набережная Мысхако,Многоквартирный жилой дом
17.06.2024 9:12:39,от 16 до 35 лет (20),Мужской,Программист ,Доступно,Еженедельно,1,Менее 300 метров,10,10,5,5,Пикники,4,7,3,3,7,7,10,7,7,3,2,Не изменилось,Ухудшилось,Не изменилось,"Набережная Мысхако, Плантация виноградников, Пустыри у подножья горы Колдун",Частный дом
17.06.2024 9:16:31,от 16 до 35 лет (20),Мужской,Спорт ,Доступно,Еженедельно,3,Более 1000 метров,4,3,5,1,Спорт,4,3,6,4,4,8,4,5,4,10,4,Ухудшилось,Не изменилось,Улучшилось,"Гора Колдун, Пляж Мысхако, Побережье реки Мысхако",Частный дом
17.06.2024 10:14:20,от 16 до 35 лет (19),Женский,,Доступно,Один раз в год,7,500-1000 метров,9,9,5,5,Пикники,10,3,6,7,7,7,7,4,5,10,7,Улучшилось,Не изменилось,Не изменилось,Дикий пляж у подножия горы Колдун,Частный дом
17.06.2024 10:55:01,от 16 до 35 лет (19),Мужской,IT,Нейтрально,Еженедельно,3,Более 1000 метров,7,7,6,8,Прогулки,7,7,7,7,5,7,7,7,7,5,4,Значительно улучшилось,Значительно улучшилось,Значительно улучшилось,"Пляж Мысхако, Набережная Мысхако, ",Многоквартирный жилой дом
17.06.2024 11:01:19,от 16 до 35 лет (20),Мужской,студент выпускник,Доступно,Ежедневно,1,Менее 300 метров,6,3,5,8,Прогулки,10,4,3,1,5,7,5,5,1,8,1,Улучшилось,Значительно улучшилось,Не изменилось,"Гора Колдун, Пляж Мысхако, Плантация виноградников, Пустыри у подножья горы Колдун",Частный дом
17.06.2024 11:07:36,от 16 до 35 лет (18),Женский,студент,Нейтрально,Еженедельно,5,300-500 метров,2,1,3,5,Наблюдение за природой,5,3,2,2,4,6,7,3,8,4,2,Ухудшилось,Не изменилось,Не изменилось,"Пляж Мысхако, Набережная Мысхако, Плантация виноградников, Побережье реки Мысхако",Частный дом
17.06.2024 11:13:59,от 16 до 35 лет (19),Мужской,,Доступно,Еженедельно,6,300-500 метров,10,10,10,10,Прогулки,9,10,10,10,8,10,8,8,8,8,9,Улучшилось,Улучшилось,Улучшилось,"Пляж Мысхако, Дикий пляж у подножия горы Колдун, Дикий пляж Больничный, Набережная Мысхако, Мемориальный комплекс «Долина смерти», Плантация виноградников",Частный дом
17.06.2024 11:29:49,от 16 до 35 лет (19),Мужской,Управление многоквартирного дома мдд31-21 ,Доступно,Ежедневно,1,Менее 300 метров,10,10,10,10,Прогулки,10,10,10,10,1,10,10,10,8,5,1,Улучшилось,Улучшилось,Улучшилось,"Пляж Мысхако, Набережная Мысхако",Многоквартирный жилой дом
17.06.2024 11:32:24,от 16 до 35 лет (24),Женский,Бухалтер,Доступно,Ежедневно,4,500-1000 метров,6,6,6,7,Наблюдение за природой,6,6,6,7,6,10,8,8,8,9,1,Улучшилось,Улучшилось,Улучшилось,"Гора Колдун, Пляж Мысхако, Набережная Мысхако",Многоквартирный жилой дом
17.06.2024 11:40:46,от 16 до 35 лет (20),Мужской,Учусь,Доступно,Еженедельно,1,Менее 300 метров,9,7,8,8,Прогулки,7,8,8,8,8,8,8,8,8,8,8,Улучшилось,Улучшилось,Улучшилось,"Гора Колдун, Пляж Мысхако, Набережная Мысхако, Побережье реки Мысхако",Многоквартирный жилой дом
17.06.2024 12:17:58,от 36 до 45 лет (36),Мужской,Архитектор,Нейтрально,Еженедельно,9,300-500 метров,6,3,2,4,События и мероприятия,6,3,3,6,8,8,10,8,8,10,9,Ухудшилось,Ухудшилось,Значительно ухудшилось,"Гора Колдун, Дикий пляж Больничный, Плантация виноградников, Пустыри у подножья горы Колдун",Многоквартирный жилой дом
17.06.2024 12:26:36,от 56 до 65 лет,Женский,"Учусь, Работаю, Работаю в сфере градостроительства",Недоступно,Ежемесячно,7,500-1000 метров,4,3,3,1,"Спорт, Пикники, Наблюдение за природой",4,6,3,7,7,7,10,7,6,8,7,Ухудшилось,Улучшилось,Не изменилось,"Плантация виноградников, Пустыри у подножья горы Колдун, Побережье реки Мысхако",Частный жилой дом
17.06.2024 12:41:25,от 66 и старше,Женский,"Работаю в сфере градостроительства / строительства / архитектуры, Работаю в административном учреждении",Недоступно,Еженедельно,7,500-1000 метров,7,4,3,6,"Прогулки, События и мероприятия, Наблюдение за природой",6,6,6,4,8,6,9,8,7,9,8,Ухудшилось,Не изменилось,Не изменилось,"Пляж Мысхако, Дикий пляж у подножия горы Колдун, Мемориальный комплекс «Долина смерти», Плантация виноградников, Пустыри у подножья горы Колдун",Многоквартирный жилой дом
17.06.2024 13:03:58,от 16 до 35 лет,Женский,"Учусь, Работаю",Нейтрально,Ежемесячно,5,500-1000 метров,7,9,4,3,Прогулки,8,8,3,5,7,8,9,8,8,7,8,Улучшилось,Улучшилось,Улучшилось,Набережная Мысхако,Многоквартирный жилой дом
17.06.2024 13:15:51,от 16 до 35 лет,Женский,Учусь,Доступно,Один раз в год,9,Менее 300 метров,9,9,9,8,Пикники,10,10,10,10,10,10,9,9,9,7,7,Значительно ухудшилось,Улучшилось,Значительно ухудшилось,Побережье реки Мысхако,Частный жилой дом
17.06.2024 13:44:01,от 16 до 35 лет,Мужской,Учусь,Доступно,Ежемесячно,10,Более 1000 метров,6,4,5,7,Прогулки,5,6,8,8,6,6,6,5,6,7,1,Улучшилось,Не изменилось,Не изменилось,"Дикий пляж у подножия горы Колдун, Пустыри у подножья горы Колдун",Частный жилой дом
17.06.2024 13:50:11,от 46 до 55 лет,Женский,Работаю,Весьма недоступно,Еженедельно,5,300-500 метров,5,5,5,5,"Прогулки, Пикники",5,5,4,3,3,9,9,10,5,7,7,Не изменилось,Ухудшилось,Не изменилось,Мемориальный комплекс «Долина смерти»,Многоквартирный жилой дом
17.06.2024 15:11:19,от 16 до 35 лет,Женский,Учусь,Очень доступно,Ежемесячно,10,Более 1000 метров,10,10,9,8,"Прогулки, Спорт",10,10,7,9,7,10,9,10,10,9,10,Значительно улучшилось,Значительно улучшилось,Улучшилось,"Дикий пляж у подножия горы Колдун, Набережная Мысхако",Частный жилой дом
17.06.2024 15:12:46,от 36 до 45 лет,Мужской,Работаю,Нейтрально,Один раз в год,6,Более 1000 метров,4,5,5,4,Прогулки,5,5,5,4,5,5,6,4,5,5,3,Не изменилось,Ухудшилось,Не изменилось,"Пляж Мысхако, Мемориальный комплекс «Долина смерти», Плантация виноградников",Многоквартирный жилой дом
17.06.2024 15:21:14,от 16 до 35 лет,Женский,Учусь,Доступно,Ежемесячно,3,500-1000 метров,3,4,5,4,"Прогулки, События и мероприятия",5,6,3,7,2,9,8,10,8,10,1,Не изменилось,Не изменилось,Не изменилось,"Гора Колдун, Пляж Мысхако",Многоквартирный жилой дом
17.06.2024 15:30:04,от 46 до 55 лет,Женский,Работаю,Доступно,Ежемесячно,10,Более 1000 метров,10,10,5,10,Прогулки,10,5,5,10,5,10,10,10,5,2,1,Улучшилось,Улучшилось,Улучшилось,Пляж Мысхако,Частный жилой дом
17.06.2024 15:30:40,от 46 до 55 лет,Женский,"Работаю, Продажи",Доступно,Ежемесячно,5,Более 1000 метров,7,7,7,8,"Прогулки, События и мероприятия, Наблюдение за природой",8,7,7,6,5,8,8,8,6,8,8,Улучшилось,Улучшилось,Улучшилось,"Пляж Мысхако, Набережная Мысхако",Многоквартирный жилой дом
17.06.2024 15:39:49,от 46 до 55 лет,Женский,Работаю,Доступно,Ежемесячно,3,500-1000 метров,5,8,6,5,"Прогулки, Пикники",3,8,4,8,7,10,10,8,5,1,1,Улучшилось,Улучшилось,Улучшилось,Пляж Мысхако,Многоквартирный жилой дом
17.06.2024 15:45:02,от 36 до 45 лет,Женский,Работаю,Доступно,Еженедельно,3,Более 1000 метров,8,9,9,9,Прогулки,9,9,9,9,2,10,10,10,9,9,9,Улучшилось,Улучшилось,Улучшилось,"Пляж Мысхако, Мемориальный комплекс «Долина смерти», Побережье реки Мысхако",Частный жилой дом
17.06.2024 15:47:34,от 36 до 45 лет,Женский,Работаю,Доступно,Ежедневно,1,Менее 300 метров,10,10,10,10,Прогулки,10,10,8,6,5,6,8,10,9,5,5,Улучшилось,Улучшилось,Улучшилось,Гора Колдун,Многоквартирный жилой дом
17.06.2024 15:52:57,от 16 до 35 лет,Мужской,"Учусь, Работаю, Работник водного транспорта",Нейтрально,Еженедельно,10,Более 1000 метров,1,1,1,1,"Прогулки, Спорт",5,1,1,1,3,1,2,1,1,9,4,Не изменилось,Не изменилось,Ухудшилось,Пляж Мысхако,Многоквартирный жилой дом
17.06.2024 15:57:29,от 36 до 45 лет,Женский,Домохозяйка ,Нейтрально,Еженедельно,2,500-1000 метров,7,6,5,6,Прогулки,7,6,5,7,5,8,8,7,7,5,5,Улучшилось,Улучшилось,Улучшилось,"Пляж Мысхако, Набережная Мысхако",Многоквартирный жилой дом
17.06.2024 16:19:38,от 36 до 45 лет,Мужской,"Учусь, Работаю",Нейтрально,Ежемесячно,3,Менее 300 метров,4,4,4,4,"Прогулки, Наблюдение за природой, ",3,4,5,5,6,6,6,4,4,7,1,Ухудшилось,Ухудшилось,Ухудшилось,"Гора Колдун, Пляж Мысхако, ",Многоквартирный жилой дом
17.06.2024 17:48:30,от 46 до 55 лет,Женский,Работаю в административном учреждении,Доступно,Еженедельно,7,300-500 метров,7,8,7,6,"Спорт, События и мероприятия",9,8,10,9,3,8,7,9,9,10,10,Улучшилось,Улучшилось,Улучшилось,"Гора Колдун, Пляж Мысхако, Дикий пляж у подножия горы Колдун, Мемориальный комплекс «Долина смерти», Плантация виноградников",Частный жилой дом
17.06.2024 17:49:43,от 66 и старше,Мужской,"Работник водного транспорта, Работник с\х",Очень доступно,Один раз в год,8,Более 1000 метров,6,3,2,3,"Спорт, События и мероприятия",7,8,6,3,4,4,6,6,7,3,9,Ухудшилось,Не изменилось,Значительно ухудшилось,"Гора Колдун, Пляж Мысхако, Плантация виноградников, Пустыри у подножья горы Колдун",Частный жилой дом
17.06.2024 17:50:47,до 15 лет,Женский,Учусь,Доступно,Ежедневно,4,300-500 метров,6,8,9,8,"Прогулки, Наблюдение за природой",6,7,6,5,4,5,8,6,7,6,8,Ухудшилось,Ухудшилось,Ухудшилось,"Пляж Мысхако, Набережная Мысхако, Пустыри у подножья горы Колдун, Побережье реки Мысхако",Частный жилой дом
17.06.2024 18:06:53,от 46 до 55 лет,Женский,Не учусь и не работаю,Весьма недоступно,Ежедневно,2,300-500 метров,8,3,5,10,Прогулки,5,5,5,5,5,10,5,10,10,10,1,Не изменилось,Не изменилось,Не изменилось,"Дикий пляж у подножия горы Колдун, Набережная Мысхако, Побережье реки Мысхако",Многоквартирный жилой дом
18.06.2024 9:20:28,от 16 до 35 лет,Мужской,Работаю,Доступно,Один раз в год,5,300-500 метров,5,5,5,5,"Пикники, События и мероприятия",5,5,5,5,5,5,5,5,5,5,5,Не изменилось,Не изменилось,Не изменилось,Пляж Мысхако,Многоквартирный жилой дом
18.06.2024 9:20:41,от 16 до 35 лет,Мужской,Работаю в сфере градостроительства / строительства / архитектуры,Доступно,Ежемесячно,6,500-1000 метров,5,4,6,6,Прогулки,9,9,9,9,7,8,6,6,7,2,1,Улучшилось,Улучшилось,Улучшилось,Пляж Мысхако,Частный жилой дом
18.06.2024 9:20:42,от 16 до 35 лет,Женский,Работаю,Доступно,Ежедневно,5,300-500 метров,10,10,10,10,Наблюдение за природой,10,10,10,10,1,10,10,10,10,1,1,Значительно улучшилось,Значительно улучшилось,Значительно улучшилось,"Гора Колдун, Пляж Мысхако, Дикий пляж у подножия горы Колдун, Дикий пляж Больничный, Набережная Мысхако, Мемориальный комплекс «Долина смерти», Плантация виноградников, Пустыри у подножья горы Колдун, Побережье реки Мысхако",Частный жилой дом
18.06.2024 9:20:46,от 16 до 35 лет,Мужской,Учусь,Доступно,Еженедельно,1,300-500 метров,10,7,6,10,"Прогулки, Спорт, Наблюдение за природой",9,10,10,10,1,10,9,10,10,5,3,Улучшилось,Улучшилось,Улучшилось,"Гора Колдун, Дикий пляж у подножия горы Колдун, Мемориальный комплекс «Долина смерти», Плантация виноградников, Побережье реки Мысхако",Многоквартирный жилой дом
18.06.2024 9:21:04,от 16 до 35 лет,Женский,"Учусь, Работаю",Доступно,Еженедельно,1,300-500 метров,9,8,6,7,"Прогулки, События и мероприятия",8,6,8,7,6,8,7,8,7,6,7,Улучшилось,Улучшилось,Улучшилось,"Пляж Мысхако, Набережная Мысхако",Многоквартирный жилой дом
18.06.2024 9:21:57,от 16 до 35 лет,Женский,"Учусь, ",Доступно,Ежемесячно,1,500-1000 метров,10,10,5,1,Спорт,10,8,8,10,7,10,10,4,4,6,5,Значительно улучшилось,Улучшилось,Улучшилось,"Пляж Мысхако, Набережная Мысхако, Плантация виноградников",Многоквартирный жилой дом
18.06.2024 9:22:06,от 16 до 35 лет,Женский,Работаю,Нейтрально,Еженедельно,10,Более 1000 метров,5,5,5,5,Прогулки,5,5,5,5,3,3,5,5,3,5,1,Не изменилось,Улучшилось,Не изменилось,"Пляж Мысхако, Дикий пляж у подножия горы Колдун, Набережная Мысхако",Частный жилой дом
18.06.2024 9:22:26,от 16 до 35 лет,Женский,"Учусь, Работаю",Нейтрально,Ежемесячно,5,500-1000 метров,2,3,5,5,"Прогулки, Спорт, Пикники, События и мероприятия, Наблюдение за природой",5,5,5,5,5,5,5,5,5,5,5,Ухудшилось,Не изменилось,Не изменилось,Дикий пляж у подножия горы Колдун,Многоквартирный жилой дом
18.06.2024 9:23:01,от 46 до 55 лет,Женский,Работаю,Доступно,Еженедельно,1,Менее 300 метров,10,10,10,5,Прогулки,10,5,10,10,1,10,10,10,10,10,10,Улучшилось,Значительно улучшилось,Значительно улучшилось,"Гора Колдун, Пляж Мысхако, Набережная Мысхако, ",Частный жилой дом
18.06.2024 9:23:07,от 16 до 35 лет,Женский,Предприниматель ,Доступно,Еженедельно,6,Более 1000 метров,4,8,1,4,Пикники,7,3,5,6,3,7,10,7,6,1,1,Значительно улучшилось,Значительно улучшилось,Не изменилось,"Гора Колдун, Пляж Мысхако",Частный жилой дом
18.06.2024 9:23:32,от 16 до 35 лет,Женский,Учусь,Доступно,Один раз в год,10,300-500 метров,10,10,10,10,Прогулки,10,10,10,10,10,10,10,10,10,10,10,Значительно улучшилось,Значительно улучшилось,Значительно улучшилось,Пляж Мысхако,Многоквартирный жилой дом
18.06.2024 9:24:19,от 16 до 35 лет,Мужской,Работаю,Доступно,Ежемесячно,2,Более 1000 метров,4,6,5,5,Спорт,5,5,5,5,5,5,5,5,5,5,5,Улучшилось,Улучшилось,Улучшилось,"Пляж Мысхако, ",Частный жилой дом
18.06.2024 9:25:22,от 16 до 35 лет,Мужской,Работаю,Нейтрально,Еженедельно,1,Более 1000 метров,5,6,5,5,"Прогулки, Наблюдение за природой",5,5,5,5,5,5,5,5,5,5,5,Улучшилось,Улучшилось,Улучшилось,Гора Колдун,Многоквартирный жилой дом
18.06.2024 9:28:55,от 16 до 35 лет,Женский,"Учусь, Работаю",Доступно,Ежедневно,1,500-1000 метров,10,10,10,10,"Прогулки, Пикники, События и мероприятия, Наблюдение за природой",10,10,10,10,10,10,10,10,10,10,10,Значительно улучшилось,Значительно улучшилось,Значительно улучшилось,"Пляж Мысхако, Побережье реки Мысхако",Многоквартирный жилой дом
18.06.2024 9:29:37,от 36 до 45 лет,Мужской,"Учусь, Работаю",Доступно,Еженедельно,5,500-1000 метров,5,10,5,5,"Прогулки, Пикники",5,5,5,5,5,5,5,5,5,10,10,Значительно улучшилось,Значительно улучшилось,Значительно улучшилось,Дикий пляж Больничный,Частный жилой дом
18.06.2024 21:16:14,от 16 до 35 лет,Женский,Учусь,Нейтрально,Ежемесячно,5,300-500 метров,5,5,5,5,Спорт,5,5,5,5,5,5,5,5,5,5,5,Улучшилось,Улучшилось,Улучшилось,Гора Колдун,Частный жилой дом
18.06.2024 21:17:29,от 36 до 45 лет,Мужской,"Учусь, Работник водного транспорта, Работник с\х",Недоступно,Еженедельно,3,Менее 300 метров,4,9,8,3,Спорт,4,8,8,9,1,1,9,4,5,2,8,Ухудшилось,Улучшилось,Улучшилось,"Дикий пляж у подножия горы Колдун, Набережная Мысхако, Мемориальный комплекс «Долина смерти»",Многоквартирный жилой дом
18.06.2024 21:18:47,от 46 до 55 лет,Мужской,Работаю,Весьма недоступно,Один раз в год,5,Более 1000 метров,2,2,2,2,События и мероприятия,8,9,2,2,9,2,9,3,3,9,2,Не изменилось,Значительно улучшилось,Значительно ухудшилось,Мемориальный комплекс «Долина смерти»,Многоквартирный жилой дом